"eau_id","wmd_id_num","wmd_id","area_km2","x_coord","y_coord"
1,1,"Arrowwood",12637.1176739,-304634.632937059,2765423.77681413
2,1,"Arrowwood",12637.1176739,-286121.096105294,2765423.77681413
3,1,"Arrowwood",12637.1176739,-267607.559273529,2765423.77681413
4,1,"Arrowwood",12637.1176739,-249094.022441765,2765423.77681413
5,1,"Arrowwood",12637.1176739,-304634.632937059,2746938.5657337
6,1,"Arrowwood",12637.1176739,-286121.096105294,2746938.5657337
7,1,"Arrowwood",12637.1176739,-267607.559273529,2746938.5657337
8,1,"Arrowwood",12637.1176739,-249094.022441765,2746938.5657337
9,1,"Arrowwood",12637.1176739,-230580.48561,2746938.5657337
10,1,"Arrowwood",12637.1176739,-212066.948778235,2746938.5657337
11,1,"Arrowwood",12637.1176739,-193553.41194647,2746938.5657337
12,1,"Arrowwood",12637.1176739,-304634.632937059,2728453.35465326
13,1,"Arrowwood",12637.1176739,-286121.096105294,2728453.35465326
14,1,"Arrowwood",12637.1176739,-267607.559273529,2728453.35465326
15,1,"Arrowwood",12637.1176739,-249094.022441765,2728453.35465326
16,1,"Arrowwood",12637.1176739,-230580.48561,2728453.35465326
17,1,"Arrowwood",12637.1176739,-212066.948778235,2728453.35465326
18,1,"Arrowwood",12637.1176739,-193553.41194647,2728453.35465326
19,1,"Arrowwood",12637.1176739,-286121.096105294,2709968.14357283
20,1,"Arrowwood",12637.1176739,-267607.559273529,2709968.14357283
21,1,"Arrowwood",12637.1176739,-249094.022441765,2709968.14357283
22,1,"Arrowwood",12637.1176739,-230580.48561,2709968.14357283
23,1,"Arrowwood",12637.1176739,-212066.948778235,2709968.14357283
24,1,"Arrowwood",12637.1176739,-193553.41194647,2709968.14357283
25,1,"Arrowwood",12637.1176739,-249094.022441765,2691482.93249239
26,1,"Arrowwood",12637.1176739,-230580.48561,2691482.93249239
27,1,"Arrowwood",12637.1176739,-212066.948778235,2691482.93249239
28,1,"Arrowwood",12637.1176739,-193553.41194647,2691482.93249239
29,1,"Arrowwood",12637.1176739,-249094.022441765,2672997.72141196
30,1,"Arrowwood",12637.1176739,-230580.48561,2672997.72141196
31,1,"Arrowwood",12637.1176739,-212066.948778235,2672997.72141196
32,1,"Arrowwood",12637.1176739,-193553.41194647,2672997.72141196
33,1,"Arrowwood",12637.1176739,-249094.022441765,2654512.51033152
34,1,"Arrowwood",12637.1176739,-230580.48561,2654512.51033152
35,1,"Arrowwood",12637.1176739,-212066.948778235,2654512.51033152
36,1,"Arrowwood",12637.1176739,-193553.41194647,2654512.51033152
37,1,"Arrowwood",12637.1176739,-249094.022441765,2636027.29925109
38,1,"Arrowwood",12637.1176739,-230580.48561,2636027.29925109
39,1,"Arrowwood",12637.1176739,-212066.948778235,2636027.29925109
40,1,"Arrowwood",12637.1176739,-193553.41194647,2636027.29925109
41,2,"Audubon",13116.9944897,-434229.390759412,2839364.62113587
42,2,"Audubon",13116.9944897,-415715.853927647,2839364.62113587
43,2,"Audubon",13116.9944897,-397202.317095882,2839364.62113587
44,2,"Audubon",13116.9944897,-434229.390759412,2820879.41005543
45,2,"Audubon",13116.9944897,-415715.853927647,2820879.41005543
46,2,"Audubon",13116.9944897,-397202.317095882,2820879.41005543
47,2,"Audubon",13116.9944897,-378688.780264118,2820879.41005543
48,2,"Audubon",13116.9944897,-434229.390759412,2802394.198975
49,2,"Audubon",13116.9944897,-415715.853927647,2802394.198975
50,2,"Audubon",13116.9944897,-397202.317095882,2802394.198975
51,2,"Audubon",13116.9944897,-378688.780264118,2802394.198975
52,2,"Audubon",13116.9944897,-434229.390759412,2783908.98789456
53,2,"Audubon",13116.9944897,-415715.853927647,2783908.98789456
54,2,"Audubon",13116.9944897,-397202.317095882,2783908.98789456
55,2,"Audubon",13116.9944897,-378688.780264118,2783908.98789456
56,2,"Audubon",13116.9944897,-471256.464422941,2765423.77681413
57,2,"Audubon",13116.9944897,-452742.927591177,2765423.77681413
58,2,"Audubon",13116.9944897,-434229.390759412,2765423.77681413
59,2,"Audubon",13116.9944897,-415715.853927647,2765423.77681413
60,2,"Audubon",13116.9944897,-397202.317095882,2765423.77681413
61,2,"Audubon",13116.9944897,-378688.780264118,2765423.77681413
62,2,"Audubon",13116.9944897,-360175.243432353,2765423.77681413
63,2,"Audubon",13116.9944897,-341661.706600588,2765423.77681413
64,2,"Audubon",13116.9944897,-323148.169768824,2765423.77681413
65,2,"Audubon",13116.9944897,-452742.927591177,2746938.5657337
66,2,"Audubon",13116.9944897,-434229.390759412,2746938.5657337
67,2,"Audubon",13116.9944897,-415715.853927647,2746938.5657337
68,2,"Audubon",13116.9944897,-397202.317095882,2746938.5657337
69,2,"Audubon",13116.9944897,-378688.780264118,2746938.5657337
70,2,"Audubon",13116.9944897,-360175.243432353,2746938.5657337
71,2,"Audubon",13116.9944897,-341661.706600588,2746938.5657337
72,2,"Audubon",13116.9944897,-323148.169768824,2746938.5657337
73,2,"Audubon",13116.9944897,-397202.317095882,2728453.35465326
74,2,"Audubon",13116.9944897,-378688.780264118,2728453.35465326
75,2,"Audubon",13116.9944897,-360175.243432353,2728453.35465326
76,2,"Audubon",13116.9944897,-341661.706600588,2728453.35465326
77,2,"Audubon",13116.9944897,-323148.169768824,2728453.35465326
78,2,"Audubon",13116.9944897,-397202.317095882,2709968.14357283
79,2,"Audubon",13116.9944897,-378688.780264118,2709968.14357283
80,3,"Benton Lake",44269.9195261,-1322879.15868412,3005731.52085978
81,3,"Benton Lake",44269.9195261,-1304365.62185235,3005731.52085978
82,3,"Benton Lake",44269.9195261,-1285852.08502059,3005731.52085978
83,3,"Benton Lake",44269.9195261,-1304365.62185235,2987246.30977935
84,3,"Benton Lake",44269.9195261,-1285852.08502059,2987246.30977935
85,3,"Benton Lake",44269.9195261,-1267338.54818882,2987246.30977935
86,3,"Benton Lake",44269.9195261,-1248825.01135706,2987246.30977935
87,3,"Benton Lake",44269.9195261,-1230311.4745253,2987246.30977935
88,3,"Benton Lake",44269.9195261,-1211797.93769353,2987246.30977935
89,3,"Benton Lake",44269.9195261,-1193284.40086177,2987246.30977935
90,3,"Benton Lake",44269.9195261,-1304365.62185235,2968761.09869891
91,3,"Benton Lake",44269.9195261,-1285852.08502059,2968761.09869891
92,3,"Benton Lake",44269.9195261,-1267338.54818882,2968761.09869891
93,3,"Benton Lake",44269.9195261,-1248825.01135706,2968761.09869891
94,3,"Benton Lake",44269.9195261,-1230311.4745253,2968761.09869891
95,3,"Benton Lake",44269.9195261,-1211797.93769353,2968761.09869891
96,3,"Benton Lake",44269.9195261,-1193284.40086177,2968761.09869891
97,3,"Benton Lake",44269.9195261,-1174770.86403,2968761.09869891
98,3,"Benton Lake",44269.9195261,-1156257.32719824,2968761.09869891
99,3,"Benton Lake",44269.9195261,-1137743.79036647,2968761.09869891
100,3,"Benton Lake",44269.9195261,-1119230.25353471,2968761.09869891
101,3,"Benton Lake",44269.9195261,-1100716.71670294,2968761.09869891
102,3,"Benton Lake",44269.9195261,-1082203.17987118,2968761.09869891
103,3,"Benton Lake",44269.9195261,-1063689.64303941,2968761.09869891
104,3,"Benton Lake",44269.9195261,-1285852.08502059,2950275.88761848
105,3,"Benton Lake",44269.9195261,-1267338.54818882,2950275.88761848
106,3,"Benton Lake",44269.9195261,-1248825.01135706,2950275.88761848
107,3,"Benton Lake",44269.9195261,-1230311.4745253,2950275.88761848
108,3,"Benton Lake",44269.9195261,-1211797.93769353,2950275.88761848
109,3,"Benton Lake",44269.9195261,-1193284.40086177,2950275.88761848
110,3,"Benton Lake",44269.9195261,-1174770.86403,2950275.88761848
111,3,"Benton Lake",44269.9195261,-1156257.32719824,2950275.88761848
112,3,"Benton Lake",44269.9195261,-1137743.79036647,2950275.88761848
113,3,"Benton Lake",44269.9195261,-1119230.25353471,2950275.88761848
114,3,"Benton Lake",44269.9195261,-1100716.71670294,2950275.88761848
115,3,"Benton Lake",44269.9195261,-1082203.17987118,2950275.88761848
116,3,"Benton Lake",44269.9195261,-1063689.64303941,2950275.88761848
117,3,"Benton Lake",44269.9195261,-1045176.10620765,2950275.88761848
118,3,"Benton Lake",44269.9195261,-1285852.08502059,2931790.67653804
119,3,"Benton Lake",44269.9195261,-1267338.54818882,2931790.67653804
120,3,"Benton Lake",44269.9195261,-1248825.01135706,2931790.67653804
121,3,"Benton Lake",44269.9195261,-1230311.4745253,2931790.67653804
122,3,"Benton Lake",44269.9195261,-1211797.93769353,2931790.67653804
123,3,"Benton Lake",44269.9195261,-1193284.40086177,2931790.67653804
124,3,"Benton Lake",44269.9195261,-1174770.86403,2931790.67653804
125,3,"Benton Lake",44269.9195261,-1156257.32719824,2931790.67653804
126,3,"Benton Lake",44269.9195261,-1137743.79036647,2931790.67653804
127,3,"Benton Lake",44269.9195261,-1119230.25353471,2931790.67653804
128,3,"Benton Lake",44269.9195261,-1100716.71670294,2931790.67653804
129,3,"Benton Lake",44269.9195261,-1082203.17987118,2931790.67653804
130,3,"Benton Lake",44269.9195261,-1063689.64303941,2931790.67653804
131,3,"Benton Lake",44269.9195261,-1045176.10620765,2931790.67653804
132,3,"Benton Lake",44269.9195261,-1267338.54818882,2913305.46545761
133,3,"Benton Lake",44269.9195261,-1248825.01135706,2913305.46545761
134,3,"Benton Lake",44269.9195261,-1230311.4745253,2913305.46545761
135,3,"Benton Lake",44269.9195261,-1211797.93769353,2913305.46545761
136,3,"Benton Lake",44269.9195261,-1193284.40086177,2913305.46545761
