"tag","n_avail","n_periods","nvar","status","gap_pct","runtime_s"
"stationary/myopic",841,9,7569,"TIME_LIMIT",0.0405252038202804,60
"stationary/myopic",833,8,6664,"TIME_LIMIT",0.0340374682099751,60
"stationary/myopic",824,7,5768,"TIME_LIMIT",0.0326249993133083,60
"stationary/myopic",817,6,4902,"OPTIMAL",0.00977541439447513,28.7
"stationary/myopic",809,5,4045,"OPTIMAL",0.00158862274061519,3.6
"stationary/myopic",803,4,3212,"OPTIMAL",0,0.3
"stationary/myopic",796,3,2388,"OPTIMAL",8.92596486690478e-09,0.1
"stationary/myopic",789,2,1578,"OPTIMAL",0,0.1
"stationary/myopic",783,1,783,"OPTIMAL",0,0
"stationary/rolling",841,9,7569,"OPTIMAL",0.00997404165703829,28.8
"stationary/rolling",833,8,6664,"OPTIMAL",0.00979968165026476,12.6
"stationary/rolling",825,7,5775,"OPTIMAL",0.00987065603887917,10.3
"stationary/rolling",819,6,4914,"OPTIMAL",0.00640415804903084,4.8
"stationary/rolling",812,5,4060,"OPTIMAL",0.00462861389721485,2.1
"stationary/rolling",805,4,3220,"OPTIMAL",0,0.6
"stationary/rolling",798,3,2394,"OPTIMAL",0,0.4
"stationary/rolling",792,2,1584,"OPTIMAL",0.0022702701509121,0.1
"stationary/rolling",785,1,785,"OPTIMAL",0,0
