"tag","n_solves","n_hit_timelimit","worst_gap_pct","total_runtime_s"
"rcp45_dry/myopic",9,3,NA,206.4
"rcp45_dry/rolling",9,1,NA,80.3
"rcp45_wet/myopic",9,3,NA,189.2
"rcp45_wet/rolling",9,1,NA,146.1
"rcp85_dry/myopic",9,4,NA,242.2
"rcp85_dry/rolling",9,4,NA,300.5
"rcp85_wet/myopic",9,3,NA,184.5
"rcp85_wet/rolling",9,4,NA,269.4
"stationary/myopic",9,4,NA,255.1
"stationary/rolling",9,4,NA,255.2
