year,n,min,p25,median,mean,p75,max,sd,inflation_factor
2020,841,37346468.9318925,87626628.8199254,119027116.11829343,160359264.1923804,187436630.87296388,2510903536.282023,139506248.7741916,1
2030,841,45525137.234484516,106816371.57444084,145093390.37626773,195477048.24497682,228484207.13676,3060777399.8728895,170057338.81013992,1.2189944199947573
2040,841,55494888.258332185,130208560.91332999,176868033.2467914,238285431.04767275,278520973.55663675,3731070571.291115,207298947.08871853,1.485947395978355
2050,841,67647959.1251395,158723509.18889672,215601145.6032859,290468610.8131585,339515512.61704755,4548154207.01052,252696259.7719364,1.8113615841033543
2060,841,82462484.69757849,193483072.0232517,262816593.43488276,354079615.7648691,413867515.38184065,5544174599.621505,308035330.61553603,2.2080396636148536
2070,841,100521308.70525123,235854785.15978757,320371960.87915283,431621075.85126317,504502191.86755806,6758317900.415281,375493349.1815787,2.6915880290736074
2080,841,122534914.40227169,287505667.03884333,390531632.634466,526143683.0148236,614985356.7616777,8238351809.156913,457724297.3974874,3.281030788365414
2090,841,149369376.9109044,350467803.83722067,476055881.01285654,641366213.7105603,749663718.2709702,10042504885.31599,557963364.4235578,3.9995582228484396
2100,841,182080436.97248623,427218297.2653892,580309462.5603603,781821835.6863383,913835889.4448347,12241757417.970284,680154227.7938185,4.875439156096396
