"rcp_label","year","n_eaus","min","p25","median","mean","p75","max","sd","cv","n_zero","pct_zero"
"Baseline (2020)",2020,841,1.83806878874179e-05,0.106598030122058,0.245914587306785,0.286964255730895,0.424195874455612,0.973473232608168,0.210908443207821,0.734964160155206,0,0
"RCP 4.5",2030,841,1.83806878874179e-05,0.103547143645155,0.241846608747898,0.282640292598808,0.419113491169777,0.973536252109496,0.208769289623711,0.738639518464013,0,0
"RCP 4.5",2040,841,1.83806878874179e-05,0.101064089133346,0.237832336261432,0.278415943518389,0.415978312007016,0.973549381172273,0.20661136794245,0.742096035634551,0,0
"RCP 4.5",2050,841,1.83806878874179e-05,0.100109647297799,0.234215443579729,0.274153898939161,0.409196289488092,0.973594019985714,0.204316686309355,0.74526274147462,0,0
"RCP 4.5",2060,841,1.83806878874179e-05,0.0998886790170188,0.233906233637176,0.273933614064559,0.409167405549983,0.973725310613481,0.204142004663899,0.745224368907821,0,0
"RCP 4.5",2070,841,1.83806878874179e-05,0.0997626400143622,0.233562375277389,0.273727597376355,0.409167405549983,0.974035156495012,0.203966447980407,0.745143894643435,0,0
"RCP 4.5",2080,841,1.83806878874179e-05,0.0989266161708133,0.233856958623442,0.273637521515982,0.409164779737428,0.974326621688655,0.203906578053797,0.745170387906352,0,0
"RCP 4.5",2090,841,1.83806878874179e-05,0.098799366832682,0.233253021735713,0.273171623680027,0.408910075919559,0.974326621688655,0.203622748577387,0.745402270683487,0,0
"RCP 4.5",2100,841,1.83806878874179e-05,0.0986992474719291,0.232733951930338,0.272634752982407,0.408910075919559,0.974326621688655,0.203270971849353,0.745579826583845,0,0
"RCP 8.5",2030,841,1.83806878874179e-05,0.103730242785489,0.241851860373009,0.282741082904942,0.419131871857665,0.97364128461171,0.208814733279205,0.738536936810874,0,0
"RCP 8.5",2040,841,1.83806878874179e-05,0.101213760449001,0.237948856693576,0.278746387637162,0.416036079883234,0.973992651154272,0.206813969575461,0.741943138092489,0,0
"RCP 8.5",2050,841,1.83806878874179e-05,0.100109647297799,0.234843546148631,0.274979922493787,0.409196289488092,0.974407529538017,0.204713125678457,0.744465718885647,0,0
"RCP 8.5",2060,841,1.83806878874179e-05,0.100083389172246,0.234257456580614,0.275246596383816,0.409167405549983,0.975242537930617,0.204692891014828,0.74367092528692,0,0
"RCP 8.5",2070,841,1.83806878874179e-05,0.100696475375598,0.236374025613507,0.275255155731328,0.409167405549983,0.975774839369571,0.204383061817005,0.742522192814074,0,0
"RCP 8.5",2080,841,1.83806878874179e-05,0.100696475375598,0.236074990694607,0.275349896447178,0.409164779737428,0.978118459131859,0.204509929972386,0.74272746280701,0,0
"RCP 8.5",2090,841,1.83806878874179e-05,0.0997438695574236,0.234462187903289,0.274879801687774,0.408910075919559,0.978118459131859,0.204215470733417,0.74292643358852,0,0
"RCP 8.5",2100,841,1.83806878874179e-05,0.0988898650521187,0.234128791765402,0.274339171677229,0.408910075919559,0.978118459131859,0.203858665680357,0.743089892828737,0,0
