"eau_id","cell_id","wmd_id_num","wmd_id","area_km2","x_coord","y_coord"
1,1161,1,"Arrowwood",12637.1176739,-304634.632937059,2765423.77681413
2,1162,1,"Arrowwood",12637.1176739,-286121.096105294,2765423.77681413
3,1163,1,"Arrowwood",12637.1176739,-267607.559273529,2765423.77681413
4,1164,1,"Arrowwood",12637.1176739,-249094.022441765,2765423.77681413
5,1246,1,"Arrowwood",12637.1176739,-304634.632937059,2746938.5657337
6,1247,1,"Arrowwood",12637.1176739,-286121.096105294,2746938.5657337
7,1248,1,"Arrowwood",12637.1176739,-267607.559273529,2746938.5657337
8,1249,1,"Arrowwood",12637.1176739,-249094.022441765,2746938.5657337
9,1250,1,"Arrowwood",12637.1176739,-230580.48561,2746938.5657337
10,1251,1,"Arrowwood",12637.1176739,-212066.948778235,2746938.5657337
11,1252,1,"Arrowwood",12637.1176739,-193553.41194647,2746938.5657337
12,1331,1,"Arrowwood",12637.1176739,-304634.632937059,2728453.35465326
13,1332,1,"Arrowwood",12637.1176739,-286121.096105294,2728453.35465326
14,1333,1,"Arrowwood",12637.1176739,-267607.559273529,2728453.35465326
15,1334,1,"Arrowwood",12637.1176739,-249094.022441765,2728453.35465326
16,1335,1,"Arrowwood",12637.1176739,-230580.48561,2728453.35465326
17,1336,1,"Arrowwood",12637.1176739,-212066.948778235,2728453.35465326
18,1337,1,"Arrowwood",12637.1176739,-193553.41194647,2728453.35465326
19,1417,1,"Arrowwood",12637.1176739,-286121.096105294,2709968.14357283
20,1418,1,"Arrowwood",12637.1176739,-267607.559273529,2709968.14357283
21,1419,1,"Arrowwood",12637.1176739,-249094.022441765,2709968.14357283
22,1420,1,"Arrowwood",12637.1176739,-230580.48561,2709968.14357283
23,1421,1,"Arrowwood",12637.1176739,-212066.948778235,2709968.14357283
24,1422,1,"Arrowwood",12637.1176739,-193553.41194647,2709968.14357283
25,1504,1,"Arrowwood",12637.1176739,-249094.022441765,2691482.93249239
26,1505,1,"Arrowwood",12637.1176739,-230580.48561,2691482.93249239
27,1506,1,"Arrowwood",12637.1176739,-212066.948778235,2691482.93249239
28,1507,1,"Arrowwood",12637.1176739,-193553.41194647,2691482.93249239
29,1589,1,"Arrowwood",12637.1176739,-249094.022441765,2672997.72141196
30,1590,1,"Arrowwood",12637.1176739,-230580.48561,2672997.72141196
31,1591,1,"Arrowwood",12637.1176739,-212066.948778235,2672997.72141196
32,1592,1,"Arrowwood",12637.1176739,-193553.41194647,2672997.72141196
33,1674,1,"Arrowwood",12637.1176739,-249094.022441765,2654512.51033152
34,1675,1,"Arrowwood",12637.1176739,-230580.48561,2654512.51033152
35,1676,1,"Arrowwood",12637.1176739,-212066.948778235,2654512.51033152
36,1677,1,"Arrowwood",12637.1176739,-193553.41194647,2654512.51033152
37,1759,1,"Arrowwood",12637.1176739,-249094.022441765,2636027.29925109
38,1760,1,"Arrowwood",12637.1176739,-230580.48561,2636027.29925109
39,1761,1,"Arrowwood",12637.1176739,-212066.948778235,2636027.29925109
40,1762,1,"Arrowwood",12637.1176739,-193553.41194647,2636027.29925109
41,814,2,"Audubon",13116.9944897,-434229.390759412,2839364.62113587
42,815,2,"Audubon",13116.9944897,-415715.853927647,2839364.62113587
43,816,2,"Audubon",13116.9944897,-397202.317095882,2839364.62113587
44,899,2,"Audubon",13116.9944897,-434229.390759412,2820879.41005543
45,900,2,"Audubon",13116.9944897,-415715.853927647,2820879.41005543
46,901,2,"Audubon",13116.9944897,-397202.317095882,2820879.41005543
47,902,2,"Audubon",13116.9944897,-378688.780264118,2820879.41005543
48,984,2,"Audubon",13116.9944897,-434229.390759412,2802394.198975
49,985,2,"Audubon",13116.9944897,-415715.853927647,2802394.198975
