eau_id,wmd_id,year,rcp,gcm,prop_suitable,abs_abundance,scaled_abundance,cost,cell_id,total_prop_suitable,habitat_share,trans_prob
1,Arrowwood,2020,baseline,baseline,0.366174361156495,348312.3137545454,10009.895462436685,NA,NA,12.741695400379717,0.02873827615951191,0.009706644890926546
1,Arrowwood,2030,45,dry,0.362616097945754,292480.5068090909,8462.440736021454,NA,1161,12.532807426687095,0.02893334953616274,0.010894538361360777
1,Arrowwood,2030,45,wet,0.362616097945754,323920.4198636364,9372.102729815184,NA,1161,12.532807426687095,0.02893334953616274,0.010894538361360777
1,Arrowwood,2030,85,dry,0.36262397538342,253968.56262727274,7346.118339707992,NA,1161,12.536564964453797,0.028925305808377717,0.010706031941139822
1,Arrowwood,2030,85,wet,0.36262397538342,374680.6619909091,10837.75272857245,NA,1161,12.536564964453797,0.028925305808377717,0.010706031941139822
1,Arrowwood,2030,stationary,stationary,0.366174361156495,348312.3137545454,10009.895462436685,NA,NA,12.741695400379717,0.02873827615951191,3.6120959776963225e-7
1,Arrowwood,2040,45,dry,0.358665562956237,244996.2692030303,7100.588768452762,NA,1161,12.375273048664406,0.028982436310360505,0.006589069518281035
1,Arrowwood,2040,45,wet,0.358665562956237,293902.8006212121,8518.019200440862,NA,1161,12.375273048664406,0.028982436310360505,0.006589069518281035
1,Arrowwood,2040,85,dry,0.358741711520342,185088.80047575757,5360.991984125604,NA,1161,12.38559454342297,0.028964432047458064,0.006529114826830563
1,Arrowwood,2040,85,wet,0.358741711520342,372863.1772636364,10799.770160851906,NA,1161,12.38559454342297,0.028964432047458064,0.006529114826830563
1,Arrowwood,2040,stationary,stationary,0.366174361156495,348312.3137545454,10009.895462436685,NA,NA,12.741695400379717,0.02873827615951191,3.6120959776963225e-7
1,Arrowwood,2050,45,dry,0.356302290628105,212766.140275,6217.078935765645,NA,1161,12.193678724580513,0.02922024588936039,3.095240480508456e-4
1,Arrowwood,2050,45,wet,0.356302290628105,279787.2595,8175.452519300283,NA,1161,12.193678724580513,0.02922024588936039,3.095240480508456e-4
1,Arrowwood,2050,85,dry,0.356399445692652,149394.50927500002,4361.161419624636,NA,1161,12.208702034174754,0.029192247029619863,2.947044488519613e-4
1,Arrowwood,2050,85,wet,0.356399445692652,360167.8680125,10514.109375152422,NA,1161,12.208702034174754,0.029192247029619863,2.947044488519613e-4
1,Arrowwood,2050,stationary,stationary,0.366174361156495,348312.3137545454,10009.895462436685,NA,NA,12.741695400379717,0.02873827615951191,3.6120959776963225e-7
1,Arrowwood,2060,45,dry,0.35619200650078,195790.120025,5730.718414152367,NA,1161,12.169307696659601,0.029269701726627594,0.001953554022738687
1,Arrowwood,2060,45,wet,0.35619200650078,281573.7965,8241.581037589136,NA,1161,12.169307696659601,0.029269701726627594,0.001953554022738687
1,Arrowwood,2060,85,dry,0.356294413190438,146885.689025,4294.6908899198,NA,1161,12.185871281230403,0.02923832075423523,0.0021888255893592013
1,Arrowwood,2060,85,wet,0.356294413190438,336594.7342375,9841.464803822588,NA,1161,12.185871281230403,0.02923832075423523,0.0021888255893592013
