rcp_lab,year,n,min,p25,median,mean,p75,max,sd,skewness,n_at_floor,pct_at_floor,median_above_floor,mean_above_floor
RCP 4.5,2030,841,3.6120959776963225e-7,0.006853502338888647,0.0134470995957741,0.017597945927731715,0.023315128785627234,0.1143464526492422,0.01620545635095848,2.062810863231675,36,4.280618311533888,0.014264553347635385,0.018384918660468142
RCP 4.5,2040,841,3.6120959776963225e-7,0.006607986889120287,0.01408700035154564,0.017961536527582103,0.023175425384081443,0.12544252223992242,0.016702474288082643,2.0476630535231597,31,3.686087990487515,0.014672258633096657,0.018648939533579035
RCP 4.5,2050,841,3.6120959776963225e-7,3.6120959776963225e-7,1.5634202652046734e-5,0.0014457606896983092,0.0011342971659181798,0.04077676051531901,0.0034701723978963817,4.507807078175692,401,47.681331747919145,9.37705876551785e-4,0.0027630452158808466
RCP 4.5,2060,841,3.6120959776963225e-7,3.6120959776963225e-7,1.7835367433753414e-5,0.0018115047292485168,0.0016976139121138373,0.05421887621088421,0.004350029281219836,5.678785451138159,411,48.870392390011894,0.0016228230263813747,0.0035426209771007465
RCP 4.5,2070,841,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,0.0016643888755852683,0.0010741683150413683,0.0833566755477938,0.005014596144453908,8.446056841023067,445,52.91319857312723,0.0012702041044072147,0.0035343189547883884
RCP 4.5,2080,841,3.6120959776963225e-7,3.6120959776963225e-7,3.51282086994929e-4,0.002183793845610254,0.0020339418609878705,0.04353068634694273,0.004818642489273119,4.349270969840126,294,34.95838287752676,0.00128359541832538,0.0033573389918399987
RCP 4.5,2090,841,3.6120959776963225e-7,3.6120959776963225e-7,6.334099589699072e-4,0.0027561244128809755,0.0034746991226087026,0.04860851536267445,0.0051480982488377545,3.893857921304976,249,29.607609988109395,0.002006078036523846,0.003915220760207864
RCP 8.5,2030,841,3.6120959776963225e-7,0.006095102059481473,0.012592857866818918,0.016858800882357458,0.02275162885794161,0.11087668873207755,0.016104754868112057,2.053490684110968,48,5.707491082045184,0.013586518664021961,0.01787923607062034
RCP 8.5,2040,841,3.6120959776963225e-7,0.004952928929198944,0.012235442472496432,0.01630874386853133,0.021704550166248858,0.1258500684561855,0.016607132128270065,2.070609541800541,82,9.750297265160523,0.013524814595953446,0.01807065082246091
RCP 8.5,2050,841,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,0.0011606290321702166,6.579421409308346e-4,0.03488413732245416,0.003079927049204563,4.686877792115245,470,55.8858501783591,9.396391213793952e-4,0.002630510101197305
RCP 8.5,2060,841,3.6120959776963225e-7,3.6120959776963225e-7,1.309304682822727e-5,0.001716704629466563,0.0013182272726817584,0.05421887621088421,0.004373150934484571,5.946205078071894,411,48.870392390011894,0.0012437797177804457,0.0033572096191551103
RCP 8.5,2070,841,3.6120959776963225e-7,3.6120959776963225e-7,5.147724407643576e-6,0.0015889153021396466,0.0010741683150413683,0.08345576774000549,0.0047670973575672715,8.963831460056799,419,49.82164090368609,0.0010734915523537222,0.003166176356108952
RCP 8.5,2080,841,3.6120959776963225e-7,3.6120959776963225e-7,3.449650564519906e-4,0.00217513430579114,0.0020267179176997954,0.04340724315615771,0.004806817854223156,4.3444165066342215,294,34.95838287752676,0.001272174702750687,0.0033440251472552198
RCP 8.5,2090,841,3.6120959776963225e-7,3.6120959776963225e-7,6.389237423523124e-4,0.0027576071913117542,0.0034596790165425263,0.05201161734895909,0.00526392979210919,4.239025124548161,249,29.607609988109395,0.002005392957640322,0.003917327207269156
Stationary,2030,841,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,0,NA,841,100,NA,NA
Stationary,2040,841,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,0,NA,841,100,NA,NA
Stationary,2050,841,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,0,NA,841,100,NA,NA
Stationary,2060,841,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,0,NA,841,100,NA,NA
Stationary,2070,841,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,0,NA,841,100,NA,NA
Stationary,2080,841,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,0,NA,841,100,NA,NA
Stationary,2090,841,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,3.6120959776963225e-7,0,NA,841,100,NA,NA
Baseline (2020),2020,841,3.6120959776963225e-7,0.006383355793745796,0.01314777925587164,0.017228482025699002,0.02365291642778239,0.1148652866812112,0.015346310201095269,1.7849235280161015,39,4.637336504161712,0.014437527564827298,0.018066258474362277
