alignment,scenario,wmd_id,year,wmd_total
current,rcp45_wet,Litchfield,2030,33755.982379999994
current,rcp45_wet,Litchfield,2040,32188.07597
current,rcp45_wet,Litchfield,2050,30620.16955999999
current,rcp45_wet,Litchfield,2060,31091.296757999993
current,rcp45_wet,Litchfield,2070,31562.423956000002
current,rcp45_wet,Litchfield,2080,32033.551154000004
current,rcp45_wet,Litchfield,2090,32504.678351999995
current,rcp45_wet,Litchfield,2100,32975.80554999999
current,rcp45_wet,Long Lake,2020,227646.6724
current,rcp45_wet,Long Lake,2030,192371.95990000002
current,rcp45_wet,Long Lake,2040,157097.24739999993
current,rcp45_wet,Long Lake,2050,121822.53490000003
current,rcp45_wet,Long Lake,2060,123368.23966000004
current,rcp45_wet,Long Lake,2070,124913.94442000003
current,rcp45_wet,Long Lake,2080,126459.64918000001
current,rcp45_wet,Long Lake,2090,128005.35393999997
current,rcp45_wet,Long Lake,2100,129551.0587
current,rcp45_wet,Madison,2020,164211.01240000007
current,rcp45_wet,Madison,2030,153294.65873333337
current,rcp45_wet,Madison,2040,142378.30506666674
current,rcp45_wet,Madison,2050,131461.95139999996
current,rcp45_wet,Madison,2060,133286.72206000003
current,rcp45_wet,Madison,2070,135111.49272
current,rcp45_wet,Madison,2080,136936.26338
current,rcp45_wet,Madison,2090,138761.03404000003
current,rcp45_wet,Madison,2100,140585.80470000004
current,rcp45_wet,Morris,2020,47375.36669
current,rcp45_wet,Morris,2030,45520.99360000001
current,rcp45_wet,Morris,2040,43666.62051000001
current,rcp45_wet,Morris,2050,41812.247419999985
current,rcp45_wet,Morris,2060,42827.73578000002
current,rcp45_wet,Morris,2070,43843.22414000001
current,rcp45_wet,Morris,2080,44858.712500000016
current,rcp45_wet,Morris,2090,45874.200860000004
current,rcp45_wet,Morris,2100,46889.68921999999
current,rcp45_wet,Roseau,2020,26697.59802
current,rcp45_wet,Roseau,2030,26403.174903333333
current,rcp45_wet,Roseau,2040,26108.751786666668
current,rcp45_wet,Roseau,2050,25814.32867
current,rcp45_wet,Roseau,2060,25763.933417999993
current,rcp45_wet,Roseau,2070,25713.538165999988
current,rcp45_wet,Roseau,2080,25663.142913999985
current,rcp45_wet,Roseau,2090,25612.747662000005
current,rcp45_wet,Roseau,2100,25562.352409999996
current,rcp45_wet,Sand Lake,2020,625525.6247999999
current,rcp45_wet,Sand Lake,2030,579604.2887
current,rcp45_wet,Sand Lake,2040,533682.9526
current,rcp45_wet,Sand Lake,2050,487761.61649999995
current,rcp45_wet,Sand Lake,2060,507328.36192000005
current,rcp45_wet,Sand Lake,2070,526895.10734
current,rcp45_wet,Sand Lake,2080,546461.8527599999
current,rcp45_wet,Sand Lake,2090,566028.5981800001
current,rcp45_wet,Sand Lake,2100,585595.3436
current,rcp45_wet,Tewaukon,2020,163271.77619999996
current,rcp45_wet,Tewaukon,2030,145468.7849
current,rcp45_wet,Tewaukon,2040,127665.79359999995
current,rcp45_wet,Tewaukon,2050,109862.80230000001
current,rcp45_wet,Tewaukon,2060,113958.18728000003
current,rcp45_wet,Tewaukon,2070,118053.57225999999
current,rcp45_wet,Tewaukon,2080,122148.95724000003
current,rcp45_wet,Tewaukon,2090,126244.34221999999
current,rcp45_wet,Tewaukon,2100,130339.72719999996
current,rcp45_wet,Valley City,2020,155286.89729999998
current,rcp45_wet,Valley City,2030,142331.24243333336
current,rcp45_wet,Valley City,2040,129375.58756666667
current,rcp45_wet,Valley City,2050,116419.93270000002
current,rcp45_wet,Valley City,2060,117867.63118
current,rcp45_wet,Valley City,2070,119315.32966
current,rcp45_wet,Valley City,2080,120763.02813999994
current,rcp45_wet,Valley City,2090,122210.72661999999
current,rcp45_wet,Valley City,2100,123658.42510000001
current,rcp45_wet,Waubay,2020,241580.79430000007
