scenario,current,midpoint,diff_mid_minus_cur,pct_change
rcp45_wet,31314083.92816089,30689870.195886355,-624213.732274536,-1.9933961143700516
rcp45_dry,25753733.971181322,24182590.520374645,-1571143.4508066773,-6.100643318614699
rcp85_wet,35186567.18869916,33716119.811917804,-1470447.3767813593,-4.1790020859256245
rcp85_dry,23129002.845913947,21778701.622180205,-1350301.2237337418,-5.838129869798044
stationary,37769482.13341547,35185866.71056566,-2583615.4228498116,-6.84048410757539
