"tag","n_solves","n_hit_timelimit","worst_gap_pct","total_runtime_s"
"rcp45_dry/myopic",9,5,NA,338.9
"rcp45_dry/rolling",9,5,NA,313.4
"rcp45_wet/myopic",9,4,NA,246.9
"rcp45_wet/rolling",9,4,NA,287.9
"rcp85_dry/myopic",9,4,NA,279.3
"rcp85_dry/rolling",9,4,NA,276.3
"rcp85_wet/myopic",9,4,NA,274.1
"rcp85_wet/rolling",9,3,NA,221.7
"stationary/myopic",9,4,NA,256.3
"stationary/rolling",9,4,NA,255.9
