"tag","n_solves","n_hit_timelimit","worst_gap_pct","total_runtime_s"
"rcp45_dry/myopic",9,3,NA,206.8
"rcp45_dry/rolling",9,1,NA,80.7
"rcp45_wet/myopic",9,3,NA,190.1
"rcp45_wet/rolling",9,1,NA,146.9
"rcp85_dry/myopic",9,4,NA,242.7
"rcp85_dry/rolling",9,5,NA,309.8
"rcp85_wet/myopic",9,3,NA,184.7
"rcp85_wet/rolling",9,4,NA,269.2
"stationary/myopic",9,4,NA,261.5
"stationary/rolling",9,4,NA,260.8
