"tag","n_solves","n_hit_timelimit","worst_gap_pct","total_runtime_s"
"rcp45_dry/myopic",9,5,NA,337.1
"rcp45_dry/rolling",9,5,NA,313.2
"rcp45_wet/myopic",9,4,NA,247
"rcp45_wet/rolling",9,4,NA,286.1
"rcp85_dry/myopic",9,4,NA,279.1
"rcp85_dry/rolling",9,4,NA,274.7
"rcp85_wet/myopic",9,4,NA,274.4
"rcp85_wet/rolling",9,3,NA,220.1
"stationary/myopic",9,4,NA,255.9
"stationary/rolling",9,4,NA,255.9
