run,annual_rate,p_decade,scenario,J_rolling,J_myopic,J_greedy,J_baseline,va_rolling,va_myopic,va_greedy,myopic_gap_va_pct,myopic_gap_J_pct,greedy_gap_va_pct,greedy_gap_J_pct
data_derived,NA,NA,rcp45_wet,29843246.3672923,29813714.9279953,29750207.9080543,29632114.171984,211132.1953083016,181600.7560113035,118093.73607030138,13.987179574330378,0.09895518380789849,44.0664480858273,0.31175716640522333
data_derived,NA,NA,rcp45_dry,23573107.2462542,23555781.2902121,23508743.8353137,23428324.609365,144782.63688919693,127456.68084709719,80419.22594869882,11.96687421528274,0.07349882160678187,44.45520010093188,0.27303745012539893
data_derived,NA,NA,rcp85_wet,32823972.7716306,32792943.2046961,32724072.740328,32605206.2067395,218766.56489109993,187736.99795660004,118866.53358849883,14.183870807655701,0.09453324602230478,45.665127736649545,0.30435082309397843
data_derived,NA,NA,rcp85_dry,21266627.6847483,21248380.0474436,21214227.3980056,21144506.2429382,122121.44181010127,103873.80450540036,69721.15506740287,14.942205917512807,0.08580409444882271,42.90834268414616,0.24639678429259426
data_derived,NA,NA,stationary,35185828.6748192,35185828.5487848,35185828.57436,35185820.2032352,8.471583999693394,8.34554959833622,8.371124796569347,1.487731236115175,3.581964845050549e-7,1.1858373018278774,2.8551040833078385e-7
wetland_low,9e-4,0.008963637342367825,rcp45_wet,29909273.567974,29906831.0660777,29905509.4373265,29732146.1916746,177127.37629939988,174684.87440310046,173363.24565189704,1.3789522248502346,0.008166369840940515,2.12509817857873,0.012585162387672844
wetland_low,9e-4,0.008963637342367825,rcp45_dry,23640627.4429617,23639171.9107283,23639472.2639522,23522403.493859,118223.94910269976,116768.41686930135,117068.77009319887,1.2311652964104625,0.006156910331209291,0.9771108292934797,0.004886414340262409
wetland_low,9e-4,0.008963637342367825,rcp85_wet,32893347.461524,32890327.0009258,32890289.7412432,32713258.9315396,180088.52998439968,177068.06938620284,177030.80970359966,1.6772087586358133,0.009182588065048493,1.6978984064475913,0.00929586228454459
wetland_low,9e-4,0.008963637342367825,rcp85_dry,21294872.6404423,21293259.4405185,21293260.9980657,21187076.8160486,107795.82439370081,106182.62446989864,106184.18201709911,1.4965328507626652,0.007575532152929845,1.495087945814601,0.00756821796407899
wetland_low,9e-4,0.008963637342367825,stationary,34260119.3530424,34257088.110407,34257687.8046567,34054536.3360804,205583.01696199924,202551.77432660013,203151.46857629716,1.4744615971655917,0.008847729350160363,1.1827574191848398,0.007097314404090495
grass_low,0.004,0.039287626497189865,rcp45_wet,29909273.567974,29906831.0660777,29905509.4373265,29732146.1916746,177127.37629939988,174684.87440310046,173363.24565189704,1.3789522248502346,0.008166369840940515,2.12509817857873,0.012585162387672844
grass_low,0.004,0.039287626497189865,rcp45_dry,23640627.4429617,23639171.9107283,23639472.2639522,23522403.493859,118223.94910269976,116768.41686930135,117068.77009319887,1.2311652964104625,0.006156910331209291,0.9771108292934797,0.004886414340262409
grass_low,0.004,0.039287626497189865,rcp85_wet,32893347.461524,32890327.0009258,32890289.7412432,32713258.9315396,180088.52998439968,177068.06938620284,177030.80970359966,1.6772087586358133,0.009182588065048493,1.6978984064475913,0.00929586228454459
grass_low,0.004,0.039287626497189865,rcp85_dry,21294872.6404423,21293259.4405185,21293260.9980657,21187076.8160486,107795.82439370081,106182.62446989864,106184.18201709911,1.4965328507626652,0.007575532152929845,1.495087945814601,0.00756821796407899
grass_low,0.004,0.039287626497189865,stationary,34260119.3530424,34257088.110407,34257687.8046567,34054536.3360804,205583.01696199924,202551.77432660013,203151.46857629716,1.4744615971655917,0.008847729350160363,1.1827574191848398,0.007097314404090495
wetland_high,0.0057,0.05555995299306449,rcp45_wet,29909273.567974,29906831.0660777,29905509.4373265,29732146.1916746,177127.37629939988,174684.87440310046,173363.24565189704,1.3789522248502346,0.008166369840940515,2.12509817857873,0.012585162387672844
wetland_high,0.0057,0.05555995299306449,rcp45_dry,23640627.4429617,23639171.9107283,23639472.2639522,23522403.493859,118223.94910269976,116768.41686930135,117068.77009319887,1.2311652964104625,0.006156910331209291,0.9771108292934797,0.004886414340262409
wetland_high,0.0057,0.05555995299306449,rcp85_wet,32893347.461524,32890327.0009258,32890289.7412432,32713258.9315396,180088.52998439968,177068.06938620284,177030.80970359966,1.6772087586358133,0.009182588065048493,1.6978984064475913,0.00929586228454459
wetland_high,0.0057,0.05555995299306449,rcp85_dry,21294872.6404423,21293259.4405185,21293260.9980657,21187076.8160486,107795.82439370081,106182.62446989864,106184.18201709911,1.4965328507626652,0.007575532152929845,1.495087945814601,0.00756821796407899
wetland_high,0.0057,0.05555995299306449,stationary,34260119.3530424,34257088.110407,34257687.8046567,34054536.3360804,205583.01696199924,202551.77432660013,203151.46857629716,1.4744615971655917,0.008847729350160363,1.1827574191848398,0.007097314404090495
grass_high,0.013,0.1226527347496994,rcp45_wet,29909273.567974,29906831.0660777,29905509.4373265,29732146.1916746,177127.37629939988,174684.87440310046,173363.24565189704,1.3789522248502346,0.008166369840940515,2.12509817857873,0.012585162387672844
grass_high,0.013,0.1226527347496994,rcp45_dry,23640627.4429617,23639171.9107283,23639472.2639522,23522403.493859,118223.94910269976,116768.41686930135,117068.77009319887,1.2311652964104625,0.006156910331209291,0.9771108292934797,0.004886414340262409
grass_high,0.013,0.1226527347496994,rcp85_wet,32893347.461524,32890327.0009258,32890289.7412432,32713258.9315396,180088.52998439968,177068.06938620284,177030.80970359966,1.6772087586358133,0.009182588065048493,1.6978984064475913,0.00929586228454459
grass_high,0.013,0.1226527347496994,rcp85_dry,21294872.6404423,21293259.4405185,21293260.9980657,21187076.8160486,107795.82439370081,106182.62446989864,106184.18201709911,1.4965328507626652,0.007575532152929845,1.495087945814601,0.00756821796407899
grass_high,0.013,0.1226527347496994,stationary,34260119.3530424,34257088.110407,34257687.8046567,34054536.3360804,205583.01696199924,202551.77432660013,203151.46857629716,1.4744615971655917,0.008847729350160363,1.1827574191848398,0.007097314404090495
