run,scenario,model,J,J_baseline,value_added,n_acquired,total_spend,gap_J_pct,gap_value_added_pct,annual_rate,risk_kind,p_decade,value_added_recomputed
grass_low,stationary,greedy,34257687.8,34054536.34,203151.4686,65,13194633745,0.007097314,1.182757419,0.004,uniform,0.039287626,203151.4686
grass_low,stationary,myopic,34257088.11,34054536.34,202551.7743,64,13426754538,0.008847729,1.474461597,0.004,uniform,0.039287626,202551.7743
grass_low,stationary,rolling,34260119.35,34054536.34,205583.017,65,13425211539,0,0,0.004,uniform,0.039287626,205583.017
wetland_high,rcp45_wet,greedy,29905509.44,29732146.19,173363.2457,62,13113094588,0.012585162,2.125098179,0.0057,uniform,0.055559953,173363.2457
wetland_high,rcp45_wet,myopic,29906831.07,29732146.19,174684.8744,63,13417593746,0.00816637,1.378952225,0.0057,uniform,0.055559953,174684.8744
wetland_high,rcp45_wet,rolling,29909273.57,29732146.19,177127.3763,61,13418915523,0,0,0.0057,uniform,0.055559953,177127.3763
wetland_high,rcp45_dry,greedy,23639472.26,23522403.49,117068.7701,63,13111621970,0.004886414,0.977110829,0.0057,uniform,0.055559953,117068.7701
wetland_high,rcp45_dry,myopic,23639171.91,23522403.49,116768.4169,61,13427259505,0.00615691,1.231165296,0.0057,uniform,0.055559953,116768.4169
wetland_high,rcp45_dry,rolling,23640627.44,23522403.49,118223.9491,63,13410970720,0,0,0.0057,uniform,0.055559953,118223.9491
wetland_high,rcp85_wet,greedy,32890289.74,32713258.93,177030.8097,60,13171972902,0.009295862,1.697898406,0.0057,uniform,0.055559953,177030.8097
wetland_high,rcp85_wet,myopic,32890327,32713258.93,177068.0694,61,13413387061,0.009182588,1.677208759,0.0057,uniform,0.055559953,177068.0694
wetland_high,rcp85_wet,rolling,32893347.46,32713258.93,180088.53,61,13424353733,0,0,0.0057,uniform,0.055559953,180088.53
wetland_high,rcp85_dry,greedy,21293261,21187076.82,106184.182,63,13190561821,0.007568218,1.495087946,0.0057,uniform,0.055559953,106184.182
wetland_high,rcp85_dry,myopic,21293259.44,21187076.82,106182.6245,63,13422266291,0.007575532,1.496532851,0.0057,uniform,0.055559953,106182.6245
wetland_high,rcp85_dry,rolling,21294872.64,21187076.82,107795.8244,64,13416008719,0,0,0.0057,uniform,0.055559953,107795.8244
wetland_high,stationary,greedy,34257687.8,34054536.34,203151.4686,65,13194633745,0.007097314,1.182757419,0.0057,uniform,0.055559953,203151.4686
wetland_high,stationary,myopic,34257088.11,34054536.34,202551.7743,64,13426754538,0.008847729,1.474461597,0.0057,uniform,0.055559953,202551.7743
wetland_high,stationary,rolling,34260119.35,34054536.34,205583.017,65,13425211539,0,0,0.0057,uniform,0.055559953,205583.017
grass_high,rcp45_wet,greedy,29905509.44,29732146.19,173363.2457,62,13113094588,0.012585162,2.125098179,0.013,uniform,0.122652735,173363.2457
grass_high,rcp45_wet,myopic,29906831.07,29732146.19,174684.8744,63,13417593746,0.00816637,1.378952225,0.013,uniform,0.122652735,174684.8744
grass_high,rcp45_wet,rolling,29909273.57,29732146.19,177127.3763,61,13418915523,0,0,0.013,uniform,0.122652735,177127.3763
grass_high,rcp45_dry,greedy,23639472.26,23522403.49,117068.7701,63,13111621970,0.004886414,0.977110829,0.013,uniform,0.122652735,117068.7701
grass_high,rcp45_dry,myopic,23639171.91,23522403.49,116768.4169,61,13427259505,0.00615691,1.231165296,0.013,uniform,0.122652735,116768.4169
grass_high,rcp45_dry,rolling,23640627.44,23522403.49,118223.9491,63,13410970720,0,0,0.013,uniform,0.122652735,118223.9491
grass_high,rcp85_wet,greedy,32890289.74,32713258.93,177030.8097,60,13171972902,0.009295862,1.697898406,0.013,uniform,0.122652735,177030.8097
grass_high,rcp85_wet,myopic,32890327,32713258.93,177068.0694,61,13413387061,0.009182588,1.677208759,0.013,uniform,0.122652735,177068.0694
grass_high,rcp85_wet,rolling,32893347.46,32713258.93,180088.53,61,13424353733,0,0,0.013,uniform,0.122652735,180088.53
grass_high,rcp85_dry,greedy,21293261,21187076.82,106184.182,63,13190561821,0.007568218,1.495087946,0.013,uniform,0.122652735,106184.182
grass_high,rcp85_dry,myopic,21293259.44,21187076.82,106182.6245,63,13422266291,0.007575532,1.496532851,0.013,uniform,0.122652735,106182.6245
grass_high,rcp85_dry,rolling,21294872.64,21187076.82,107795.8244,64,13416008719,0,0,0.013,uniform,0.122652735,107795.8244
grass_high,stationary,greedy,34257687.8,34054536.34,203151.4686,65,13194633745,0.007097314,1.182757419,0.013,uniform,0.122652735,203151.4686
grass_high,stationary,myopic,34257088.11,34054536.34,202551.7743,64,13426754538,0.008847729,1.474461597,0.013,uniform,0.122652735,202551.7743
grass_high,stationary,rolling,34260119.35,34054536.34,205583.017,65,13425211539,0,0,0.013,uniform,0.122652735,205583.017
