"rcp45_2014","rcp45_2020","rcp45_2030","rcp45_2040","rcp45_2050","rcp45_2060","rcp45_2070","rcp45_2080","rcp45_2090","rcp45_2100"
0.122597136793018,0.123684223190931,0.12375597146759,0.125924892638305,0.125982660514523,0.126484190712594,0.125463600966229,0.125004924849628,0.125433783633813,0.124273174484351
0.163593189195684,0.163593189195684,0.163593189195684,0.163593189195684,0.16359581500824,0.160629487901284,0.160684629964946,0.160815920592713,0.161393599354889,0.162013291117951
0.573085641620194,0.577701820092492,0.578497441296761,0.581008784836022,0.581710040901584,0.585871707631879,0.589992510154282,0.589270493758205,0.593724733446815,0.602851688634305
0.682265491680215,0.694151683523519,0.707871636181841,0.724338270829697,0.731688576625248,0.73801678488363,0.740064754563515,0.739758847400817,0.738898565562372,0.742804707908375
0.517976195473277,0.538292722638802,0.554391497358982,0.565921932629358,0.574542557305199,0.57998061510732,0.586665523590017,0.588952606325723,0.583372385390723,0.579669989687686
0.399049575377741,0.40602832869671,0.411829364056286,0.421751119881622,0.422696658571473,0.424500591796995,0.414533007336904,0.411069027208228,0.408653484798916,0.402204160936419
0.126092821556884,0.127022697685126,0.138531234089073,0.144041912019677,0.149097021729009,0.150580882763948,0.152836455748989,0.153997947007357,0.161444905270521,0.160790503547744
0.139019799337652,0.139019799337652,0.139064438151093,0.139404870646062,0.139614935650489,0.139838129717694,0.134712543609659,0.132417911662857,0.129572792473739,0.128415660474496
0.782938365514056,0.783408385961463,0.778782196578798,0.777428179923306,0.774955156836025,0.774709397192173,0.771147728630774,0.757240604771241,0.746592114292892,0.737347366795302
0.500319247171426,0.507311498808062,0.521323285914918,0.529598575211411,0.54129710351365,0.549853600923491,0.559548798359286,0.561019376475243,0.56295833390576,0.567002085240992
0.399648752980214,0.409083461604854,0.425765330825606,0.435201434413167,0.446597050620154,0.4532216064424,0.455804954685327,0.46181396260495,0.466340165968906,0.470505525248107
0.276139433522461,0.285503245208107,0.295648810525466,0.310717876954899,0.321703886917413,0.328592336901471,0.339232601201425,0.343053240526095,0.352463845012044,0.350021839335572
0.521596165279069,0.521068048728875,0.519959217320738,0.516966242319177,0.514041743585661,0.510130308586226,0.508944672160845,0.508284116189891,0.509754940475775,0.509849141501198
0.583816804165716,0.576713899146864,0.566773311322108,0.561748942082418,0.558469302200791,0.56005529298422,0.560552186981998,0.559280267997181,0.551957984544995,0.550836393328971
0.402768833720782,0.405528644773092,0.401228466430502,0.405960057570271,0.408900188094155,0.407695637612712,0.403552433626946,0.406033826491748,0.403643229301712,0.405683157430646
0.798162580540021,0.798173083790243,0.79853019429777,0.798635226799984,0.798955575931736,0.786517101857065,0.782906609593465,0.77515783674264,0.774879500611774,0.768406872662847
0.482231173270644,0.487878967850623,0.497005020415047,0.498455863908518,0.498831149962326,0.503305247358387,0.505521433155098,0.50580239509852,0.50866046898005,0.511711663169361
0.372209996456562,0.373551704615701,0.385751557974406,0.392931678293713,0.402568615513436,0.399034271813942,0.404558981430388,0.401809755684942,0.414461905256304,0.430054062266587
0.31392586087359,0.304840610974576,0.301135589458984,0.299864716696357,0.299168876369191,0.29255078250753,0.288512282797409,0.286676839821223,0.288685586426062,0.307951111602149
0.239978055916522,0.240146107920064,0.234290484379162,0.234887979820466,0.234198314255637,0.234029175001584,0.234086942877801,0.234883425676816,0.235379540136491,0.232927605606295
0.101806229920961,0.101806229920961,0.098882767152555,0.0968304176993847,0.0965663901955286,0.0966845517605192,0.0944270607014624,0.0917871959461138,0.0904365948983595,0.090506558443047
0.830382777613672,0.817610825344472,0.799267227059398,0.785627689910584,0.767329879231944,0.751158320269995,0.734817232284942,0.725487966445727,0.71468135281756,0.701805024499285
0.820348891386558,0.81568840232739,0.811632342495805,0.809094084377851,0.809871160780949,0.812464971245776,0.812880752252587,0.810720529085961,0.806881919356615,0.806138978516737
0.43054135563721,0.436638492390722,0.452917381440871,0.460635875390666,0.461098100457049,0.467587714130943,0.472454780787239,0.477147805305101,0.476819660792326,0.476210226109558
0.383907663164057,0.396311960647187,0.405401703147369,0.417881000401612,0.421278514649981,0.427040942359329,0.424265048205117,0.425596991623816,0.425513581046862,0.426540273756002
