X,WMD,total_sum,scenario
19,Roseau,25065.08605,GFDLRCP8.5Wet7099
20,Sand Lake,488811.3212,GFDLRCP8.5Wet7099
21,Tewaukon,117047.9227,GFDLRCP8.5Wet7099
22,Valley City,127056.7313,GFDLRCP8.5Wet7099
23,Waubay,190351.9979,GFDLRCP8.5Wet7099
24,Windom,48670.71022,GFDLRCP8.5Wet7099
1,Arrowwood,221254.1504,MIROC4.5Dry3059
2,Audubon,279408.8373,MIROC4.5Dry3059
3,Benton Lake,217155.024,MIROC4.5Dry3059
4,Bowdoin,245898.8274,MIROC4.5Dry3059
5,Crosby Lostwood,294135.2647,MIROC4.5Dry3059
6,Detroit Lakes,52062.56515,MIROC4.5Dry3059
7,Devils Lake,296811.3867,MIROC4.5Dry3059
8,Fergus Falls,19331.50841,MIROC4.5Dry3059
9,Huron,286434.5905,MIROC4.5Dry3059
10,Iowa,20135.80249,MIROC4.5Dry3059
11,J. Clark Salyer,300414.0586,MIROC4.5Dry3059
12,Kulm,209895.8937,MIROC4.5Dry3059
13,Lake Andes,153878.6295,MIROC4.5Dry3059
14,Litchfield,28229.94563,MIROC4.5Dry3059
15,Long Lake,115272.0242,MIROC4.5Dry3059
16,Madison,96361.29447,MIROC4.5Dry3059
17,Morris,38097.15641,MIROC4.5Dry3059
18,Northeast Montana,100571.8167,MIROC4.5Dry3059
19,Roseau,20328.24484,MIROC4.5Dry3059
20,Sand Lake,415666.547,MIROC4.5Dry3059
21,Tewaukon,81259.09313,MIROC4.5Dry3059
22,Valley City,88438.58637,MIROC4.5Dry3059
23,Waubay,151764.7481,MIROC4.5Dry3059
24,Windom,46329.96567,MIROC4.5Dry3059
1,Arrowwood,153350.0694,MIROC4.5Dry7099
2,Audubon,185713.058,MIROC4.5Dry7099
3,Benton Lake,212790.9638,MIROC4.5Dry7099
4,Bowdoin,243131.194,MIROC4.5Dry7099
5,Crosby Lostwood,218922.8064,MIROC4.5Dry7099
6,Detroit Lakes,45827.76842,MIROC4.5Dry7099
7,Devils Lake,249054.3136,MIROC4.5Dry7099
8,Fergus Falls,18050.09872,MIROC4.5Dry7099
9,Huron,249375.166,MIROC4.5Dry7099
10,Iowa,18068.29631,MIROC4.5Dry7099
11,J. Clark Salyer,249068.8026,MIROC4.5Dry7099
12,Kulm,146864.0668,MIROC4.5Dry7099
13,Lake Andes,155196.4695,MIROC4.5Dry7099
14,Litchfield,25188.34745,MIROC4.5Dry7099
15,Long Lake,91703.87405,MIROC4.5Dry7099
16,Madison,80593.44233,MIROC4.5Dry7099
17,Morris,33656.49153,MIROC4.5Dry7099
18,Northeast Montana,100470.5283,MIROC4.5Dry7099
19,Roseau,17018.48598,MIROC4.5Dry7099
20,Sand Lake,305889.6524,MIROC4.5Dry7099
21,Tewaukon,65901.55197,MIROC4.5Dry7099
22,Valley City,64769.23909,MIROC4.5Dry7099
23,Waubay,124753.2518,MIROC4.5Dry7099
24,Windom,43721.05866,MIROC4.5Dry7099
1,Arrowwood,150648.9194,MIROC8.5Dry3059
2,Audubon,196141.9616,MIROC8.5Dry3059
3,Benton Lake,215465.5093,MIROC8.5Dry3059
4,Bowdoin,241380.8538,MIROC8.5Dry3059
5,Crosby Lostwood,225932.0739,MIROC8.5Dry3059
6,Detroit Lakes,43457.33572,MIROC8.5Dry3059
7,Devils Lake,249517.9626,MIROC8.5Dry3059
8,Fergus Falls,18216.21337,MIROC8.5Dry3059
9,Huron,222281.3897,MIROC8.5Dry3059
10,Iowa,18302.20294,MIROC8.5Dry3059
11,J. Clark Salyer,245540.3183,MIROC8.5Dry3059
12,Kulm,151358.5512,MIROC8.5Dry3059
13,Lake Andes,146576.4318,MIROC8.5Dry3059
14,Litchfield,24437.99471,MIROC8.5Dry3059
15,Long Lake,90704.09245,MIROC8.5Dry3059
16,Madison,76613.02733,MIROC8.5Dry3059
17,Morris,34321.3738,MIROC8.5Dry3059
18,Northeast Montana,93534.02704,MIROC8.5Dry3059
19,Roseau,16966.70485,MIROC8.5Dry3059
20,Sand Lake,288289.6696,MIROC8.5Dry3059
21,Tewaukon,59628.23806,MIROC8.5Dry3059
22,Valley City,58851.64015,MIROC8.5Dry3059
23,Waubay,121676.5311,MIROC8.5Dry3059
24,Windom,42399.56168,MIROC8.5Dry3059
1,Arrowwood,140613.6384,MIROC8.5Dry7099
2,Audubon,182777.8016,MIROC8.5Dry7099
3,Benton Lake,215440.4179,MIROC8.5Dry7099
4,Bowdoin,242636.5232,MIROC8.5Dry7099
5,Crosby Lostwood,223456.284,MIROC8.5Dry7099
6,Detroit Lakes,40345.15257,MIROC8.5Dry7099
7,Devils Lake,231857.5811,MIROC8.5Dry7099
8,Fergus Falls,16937.86184,MIROC8.5Dry7099
9,Huron,238060.0037,MIROC8.5Dry7099
10,Iowa,18485.7136,MIROC8.5Dry7099
11,J. Clark Salyer,239172.0105,MIROC8.5Dry7099
12,Kulm,143763.7148,MIROC8.5Dry7099
13,Lake Andes,151685.2218,MIROC8.5Dry7099
14,Litchfield,23216.34464,MIROC8.5Dry7099
15,Long Lake,91881.87246,MIROC8.5Dry7099
16,Madison,73038.13912,MIROC8.5Dry7099
17,Morris,32529.0362,MIROC8.5Dry7099
18,Northeast Montana,96926.76551,MIROC8.5Dry7099
19,Roseau,16418.44369,MIROC8.5Dry7099
20,Sand Lake,311568.6121,MIROC8.5Dry7099
21,Tewaukon,54969.62577,MIROC8.5Dry7099
22,Valley City,62385.12737,MIROC8.5Dry7099
23,Waubay,112988.4896,MIROC8.5Dry7099
24,Windom,41622.20368,MIROC8.5Dry7099
