year,n_eau,habitat_ha,gross_loss_rate,net_loss_rate,pct_gross_missed,ha_lost_gross,ha_lost_net,ha_missed,pct_eaus_censored
2020,879,7673335.962503119,0.01544379043457103,0.014721380364961676,4.6809861918133935,118505.39253895557,112962.09737214763,5543.295166807935,2.218430034129693
2030,879,7560373.865130957,0.014795085074052857,0.013317766965521616,9.986321910002546,111856.36408522738,100685.80845588783,11170.555629339548,3.356086461888509
2040,878,7454442.910950573,0.014776026546557613,0.012793530277019915,13.426870589237033,110146.96219085023,95356.11003085985,14790.852159990376,4.157175398633258
2050,876,7325811.958035657,0.0013873101270334772,-0.0010697438808033705,177.40453700847758,10163.116620110504,-7878.15607910377,18041.27269921427,16.609589041095887
2060,879,7372175.184795402,0.00158572179002756,-3.1429529320039547e-4,119.92718022380683,11690.05847681659,-2337.897420320228,14027.955897136817,15.927189988623436
2070,879,7374513.0822157245,0.0014868607411366985,-5.620593320884549e-4,137.8684547560101,10964.610034057761,-4153.60879219209,15118.218826249853,16.26848691695108
2080,877,7331936.6802622005,0.0018828486263425077,0.001669508969714773,11.330596194998332,13804.689619072078,12240.546428654796,1564.1431904172816,2.9646522234891677
2090,878,7351019.041486956,0.0021116608724023687,0.0018773959982700573,11.093822351171006,15522.445771049759,13800.414519873935,1722.031251175822,2.164009111617312
