rcp,year,n_eau,habitat_ha,gross_loss_rate,net_loss_rate,pct_gross_missed,ha_lost_gross,ha_lost_net,ha_missed,pct_eaus_censored
45,2020,879,7673335.962503119,0.015470030712043885,0.015047512536763487,2.7312045020795135,118706.74300375408,115464.61909456359,3242.1239091904895,1.7064846416382253
45,2030,879,7557871.343408544,0.014799257277975219,0.013912707713865066,5.990500384296612,111850.88248493924,105150.45493983981,6700.427545099437,2.6166097838452784
45,2040,878,7447475.8326065,0.014788104945778209,0.014592139117616608,1.3251584897464719,110134.05419373186,108674.60342448164,1459.450769250218,0.5694760820045558
45,2050,876,7305512.145233629,0.0013900933061623902,9.703520295779493e-4,30.19518723841756,10155.343531177312,7088.918537233797,3066.424993943515,11.073059360730593
45,2060,879,7336865.976548089,0.0015902632006649683,2.7641348010881304e-4,82.61838166202726,11667.547970715272,2028.0086576696121,9639.53931304566,15.47212741751991
45,2070,879,7334837.967890425,0.001493513598785048,-3.4290697746451214e-4,122.95974926130306,10954.680249929237,-2515.1671177612407,13469.847367690478,18.43003412969283
45,2080,877,7290623.214124771,0.0018885922206723425,0.0016740504531884697,11.35987775103169,13769.014286049232,12204.87109563195,1564.1431904172816,2.9646522234891677
45,2090,878,7309741.160820257,0.0021216786140193073,0.001886098281790063,11.10348809063789,15508.921494929007,13786.890243753185,1722.031251175822,2.164009111617312
85,2020,879,7673335.962503119,0.015417550157098177,0.014395248193159866,6.630767881547274,118304.04207415706,110459.57564973168,7844.46642442538,2.7303754266211606
85,2030,879,7562876.386853371,0.014790912870130494,0.012722826217178166,13.98214343570848,111861.84568551552,96221.16197193587,15640.683713579658,4.09556313993174
85,2040,878,7461409.989294646,0.014763948147337015,0.010994921436423223,25.528582688727592,110159.8701879686,82037.61663723807,28122.253550730537,7.744874715261959
85,2050,876,7346111.770837686,0.0013845269479045644,-0.0031098397911846903,324.61388677853756,10170.889709043695,-22845.230695441336,33016.12040448503,22.146118721461185
85,2060,879,7407484.393042714,0.0015811803793901518,-9.05004066509604e-4,157.2359787855864,11712.568982917908,-6703.803498310068,18416.372481227976,16.38225255972696
85,2070,879,7414188.196541024,0.0014802078834883488,-7.812116867123976e-4,152.77716025071715,10974.539818186287,-5792.050466622939,16766.590284809226,14.106939704209328
85,2080,877,7373250.146399631,0.001877105032012673,0.0016649674862410763,11.301314638964977,13840.364952094924,12276.221761677642,1564.1431904172816,2.9646522234891677
85,2090,878,7392296.922153655,0.0021016431307854305,0.0018686937147500517,11.084156611704122,15535.97004717051,13813.938795994687,1722.031251175822,2.164009111617312
