rcp,year,n,gross_mean,gross_median,gross_max,gain_mean,net_mean,net_median,gross_minus_net,ratio,pct_censored
45,2020,879,0.017989972498356592,0.014260514672951804,0.11486529444583328,6.036648527227582e-4,0.017386307645633835,0.013585087235214899,6.036648527227573e-4,1.0347207046502684,1.7064846416382253
45,2030,879,0.017617651456696876,0.013472002465056332,0.11443380975394217,0.0011664329353932852,0.01645121852130369,0.012580546416976937,0.001166432935393185,1.0709025251766426,2.6166097838452784
45,2040,878,0.018394002027747203,0.01427536560736238,0.1353575209934385,2.9221709125182483e-4,0.01810178493649538,0.014137183697442171,2.9221709125182294e-4,1.0161429987306212,0.5694760820045558
45,2050,876,0.0017135003083251087,2.120036575200349e-4,0.07542789293182134,5.572960273995799e-4,0.0011562042809255275,5.727186072330258e-5,5.572960273995812e-4,1.4820048122927485,11.073059360730593
45,2060,879,0.0021106311719344267,4.258991111433435e-4,0.054218864101962916,0.001390276604814961,7.203545671194768e-4,8.690202075486885e-5,0.00139027660481495,2.9299892973183037,15.47212741751991
45,2070,879,0.002018897704236232,3.1234334171323873e-4,0.08346478940503242,0.0023495095684277914,-3.30611864191558e-4,0,0.0023495095684277897,NA,18.43003412969283
45,2080,877,0.0025105465083090925,4.886904908964238e-4,0.15767350225079307,2.655839903295035e-4,0.002244962517979577,4.25805566889011e-4,2.6558399032951567e-4,1.1183021935566817,2.9646522234891677
45,2090,878,0.0029101455325340293,9.300470199872247e-4,0.05580904481713904,2.728548361674117e-4,0.0026372906963666285,8.462806044233287e-4,2.7285483616740084e-4,1.103460280864491,2.164009111617312
85,2020,879,0.017937483911227983,0.014182858113867089,0.11486529444583328,0.0012432617535527205,0.016694222157675267,0.012930673812889147,0.0012432617535527157,1.0744725775067705,2.7303754266211606
85,2030,879,0.01760397577796742,0.013455113467763784,0.1143688709550611,0.002224626013703259,0.015379349764264265,0.011869428733127142,0.0022246260137031553,1.1446501996379805,4.09556313993174
85,2040,878,0.01835991502681748,0.014310310703076739,0.1353575209934385,0.004562336766318703,0.013797578260498811,0.012170736663687398,0.004562336766318668,1.330662140861358,7.744874715261959
85,2050,876,0.0017086806630214524,2.1762042244390093e-4,0.07542789293182134,0.005444738362370922,-0.00373605769934948,0,0.005444738362370932,NA,22.146118721461185
85,2060,879,0.0020985338577518002,4.258991111433435e-4,0.054218864101962916,0.0032690361300709834,-0.0011705022723192038,5.522902971279801e-5,0.003269036130071004,NA,16.38225255972696
85,2070,879,0.0020002801348290807,3.096145815017609e-4,0.0834557665838115,0.0025936637838414236,-5.933836490123384e-4,3.536211730778201e-5,0.0025936637838414192,NA,14.106939704209328
85,2080,877,0.002498209318386048,4.972424621585635e-4,0.15767350225079307,2.601929209373806e-4,0.0022380163974486597,4.3165994722074594e-4,2.601929209373882e-4,1.1162605069533933,2.9646522234891677
85,2090,878,0.0028833660789397133,9.099874754187985e-4,0.055068251449133035,2.699643403992135e-4,0.0026134017385405018,8.192027964822292e-4,2.6996434039921156e-4,1.1032999773505843,2.164009111617312
